"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/22/2021","AirNow","290470005","1","0.035","ppm","32","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"05/23/2021","AirNow","290470005","1","0.037","ppm","34","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"05/24/2021","AirNow","290470005","1","0.042","ppm","39","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"05/25/2021","AirNow","290470005","1","0.034","ppm","31","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"05/26/2021","AirNow","290470005","1","0.045","ppm","42","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"05/27/2021","AirNow","290470005","1","0.038","ppm","35","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"05/28/2021","AirNow","290470005","1","0.032","ppm","30","Liberty","18","75.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"05/30/2021","AirNow","290470005","1","0.043","ppm","40","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"05/31/2021","AirNow","290470005","1","0.032","ppm","30","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/01/2021","AirNow","290470005","1","0.044","ppm","41","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/02/2021","AirNow","290470005","1","0.054","ppm","50","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/03/2021","AirNow","290470005","1","0.062","ppm","74","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/04/2021","AirNow","290470005","1","0.058","ppm","61","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/05/2021","AirNow","290470005","1","0.054","ppm","50","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/06/2021","AirNow","290470005","1","0.038","ppm","35","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/07/2021","AirNow","290470005","1","0.047","ppm","44","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/08/2021","AirNow","290470005","1","0.041","ppm","38","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/09/2021","AirNow","290470005","1","0.048","ppm","44","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/10/2021","AirNow","290470005","1","0.052","ppm","48","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/12/2021","AirNow","290470005","1","0.059","ppm","64","Liberty","22","92.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/13/2021","AirNow","290470005","1","0.057","ppm","58","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/14/2021","AirNow","290470005","1","0.07","ppm","100","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/15/2021","AirNow","290470005","1","0.064","ppm","80","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/16/2021","AirNow","290470005","1","0.059","ppm","64","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/17/2021","AirNow","290470005","1","0.061","ppm","71","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/18/2021","AirNow","290470005","1","0.064","ppm","80","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/19/2021","AirNow","290470005","1","0.064","ppm","80","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/20/2021","AirNow","290470005","1","0.054","ppm","50","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/21/2021","AirNow","290470005","1","0.041","ppm","38","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/22/2021","AirNow","290470005","1","0.057","ppm","58","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/23/2021","AirNow","290470005","1","0.051","ppm","47","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/24/2021","AirNow","290470005","1","0.042","ppm","39","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/25/2021","AirNow","290470005","1","0.045","ppm","42","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/26/2021","AirNow","290470005","1","0.044","ppm","41","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/27/2021","AirNow","290470005","1","0.039","ppm","36","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/28/2021","AirNow","290470005","1","0.024","ppm","22","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/29/2021","AirNow","290470005","1","0.034","ppm","31","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"06/30/2021","AirNow","290470005","1","0.026","ppm","24","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"07/01/2021","AirNow","290470005","1","0.043","ppm","40","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"07/02/2021","AirNow","290470005","1","0.046","ppm","43","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"07/03/2021","AirNow","290470005","1","0.048","ppm","44","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"07/04/2021","AirNow","290470005","1","0.061","ppm","71","Liberty","23","96.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"02/28/2021","AirNow","290470005","2","0.035","ppm","32","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/01/2021","AQS","290470005","2","0.038","ppm","35","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/02/2021","AQS","290470005","2","0.043","ppm","40","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/03/2021","AQS","290470005","2","0.047","ppm","44","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/04/2021","AQS","290470005","2","0.059","ppm","64","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/05/2021","AQS","290470005","2","0.039","ppm","36","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/06/2021","AQS","290470005","2","0.051","ppm","47","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/07/2021","AQS","290470005","2","0.047","ppm","44","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/08/2021","AQS","290470005","2","0.053","ppm","49","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/09/2021","AQS","290470005","2","0.053","ppm","49","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/10/2021","AQS","290470005","2","0.043","ppm","40","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/11/2021","AQS","290470005","2","0.041","ppm","38","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/12/2021","AQS","290470005","2","0.033","ppm","31","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/13/2021","AQS","290470005","2","0.032","ppm","30","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/14/2021","AQS","290470005","2","0.037","ppm","34","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/15/2021","AQS","290470005","2","0.031","ppm","29","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/16/2021","AQS","290470005","2","0.03","ppm","28","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/17/2021","AQS","290470005","2","0.034","ppm","31","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/18/2021","AQS","290470005","2","0.037","ppm","34","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/19/2021","AQS","290470005","2","0.045","ppm","42","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/20/2021","AQS","290470005","2","0.047","ppm","44","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/21/2021","AQS","290470005","2","0.046","ppm","43","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/22/2021","AQS","290470005","2","0.046","ppm","43","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/23/2021","AQS","290470005","2","0.034","ppm","31","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/24/2021","AQS","290470005","2","0.032","ppm","30","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/25/2021","AQS","290470005","2","0.025","ppm","23","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/26/2021","AQS","290470005","2","0.039","ppm","36","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/27/2021","AQS","290470005","2","0.037","ppm","34","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/28/2021","AQS","290470005","2","0.043","ppm","40","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/29/2021","AQS","290470005","2","0.053","ppm","49","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/30/2021","AQS","290470005","2","0.043","ppm","40","Liberty","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"03/31/2021","AirNow","290470005","2","0.046","ppm","43","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"04/01/2021","AirNow","290470005","2","0.045","ppm","42","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"04/02/2021","AirNow","290470005","2","0.055","ppm","51","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"04/03/2021","AirNow","290470005","2","0.069","ppm","97","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"04/04/2021","AirNow","290470005","2","0.055","ppm","51","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"04/05/2021","AirNow","290470005","2","0.043","ppm","40","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"04/06/2021","AirNow","290470005","2","0.044","ppm","41","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"04/07/2021","AirNow","290470005","2","0.042","ppm","39","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"04/08/2021","AirNow","290470005","2","0.031","ppm","29","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"04/09/2021","AirNow","290470005","2","0.047","ppm","44","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"04/10/2021","AirNow","290470005","2","0.038","ppm","35","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
"04/11/2021","AirNow","290470005","2","0.055","ppm","51","Liberty","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.3031741035639","-94.3770140393154"
